"Source:","/proyectoEmbebidos/proyectoEmbebidos/Esquematico_final/Esquematico_Final/amiplanta.kicad_sch"
"Date:","Tue 01 Nov 2022 10:18:04 AM -05"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MP","PACKAGE","PARTREV","PRICE","STANDARD"
"","","Camp1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Camp2","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Cbl1","0.1uF/50V(10%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Cbl2","4.7uF/6.3V(10%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Cboot1","0.1uF/50V(10%)(NC)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Cen2","0.1uF/50V(10%)(NC)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Cfeed1","22uF/10V(20%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Cfeed2","0.1uF/50(10%)","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","CReg1","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","CReg2","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","Din1","MBR1020VL","Diode:MBR1020VL","Diode_SMD:D_SOD-123F","https://www.onsemi.com/pub/Collateral/MBR1020VL-D.PDF","","","","","","","",""
"","","Dinl1","LESD5D5.0CT1G","LESD5D5.0CT1G:LESD5D5.0CT1G","LESD5D5:TVS_LESD5D5.0CT1G","","","LRC","0.7 mm","","","O","","Manufacturer Recommendations"
"","","DUl1","LESD5D5.0CT1G","LESD5D5.0CT1G:LESD5D5.0CT1G","LESD5D5:TVS_LESD5D5.0CT1G","","","LRC","0.7 mm","","","O","","Manufacturer Recommendations"
"","","DUl2","LESD5D5.0CT1G","LESD5D5.0CT1G:LESD5D5.0CT1G","LESD5D5:TVS_LESD5D5.0CT1G","","","LRC","0.7 mm","","","O","","Manufacturer Recommendations"
